Month,Agency,Contact Type,Total
11/01/2023,NYCT Subway/SIR,Physical Contact,24
11/01/2023,NYCT Subway/SIR,Non Physical Contact,39
11/01/2023,NYCT Bus/MTA Bus,Physical Contact,32
11/01/2023,NYCT Bus/MTA Bus,Non Physical Contact,94
11/01/2023,NYCT Other,Physical Contact,2
11/01/2023,NYCT Other,Non Physical Contact,3
11/01/2023,LIRR,Physical Contact,4
11/01/2023,LIRR,Non Physical Contact,5
11/01/2023,MNR,Physical Contact,2
11/01/2023,MNR,Non Physical Contact,4
11/01/2023,B&T,Physical Contact,0
11/01/2023,B&T,Non Physical Contact,0
11/01/2023,MTA HQ,Physical Contact,0
11/01/2023,MTA HQ,Non Physical Contact,0
11/01/2023,MTA PD Sworn,Physical Contact,2
11/01/2023,MTA PD Sworn,Non Physical Contact,1
12/01/2023,NYCT Subway/SIR,Physical Contact,32
12/01/2023,NYCT Subway/SIR,Non Physical Contact,35
12/01/2023,NYCT Bus/MTA Bus,Physical Contact,27
12/01/2023,NYCT Bus/MTA Bus,Non Physical Contact,86
12/01/2023,NYCT Other,Physical Contact,3
12/01/2023,NYCT Other,Non Physical Contact,2
12/01/2023,LIRR,Physical Contact,5
12/01/2023,LIRR,Non Physical Contact,3
12/01/2023,MNR,Physical Contact,7
12/01/2023,MNR,Non Physical Contact,7
12/01/2023,B&T,Physical Contact,0
12/01/2023,B&T,Non Physical Contact,0
12/01/2023,MTA HQ,Physical Contact,1
12/01/2023,MTA HQ,Non Physical Contact,2
12/01/2023,MTA PD Sworn,Physical Contact,6
12/01/2023,MTA PD Sworn,Non Physical Contact,3
01/01/2024,NYCT Subway/SIR,Physical Contact,26
01/01/2024,NYCT Subway/SIR,Non Physical Contact,42
01/01/2024,NYCT Bus/MTA Bus,Physical Contact,27
01/01/2024,NYCT Bus/MTA Bus,Non Physical Contact,61
01/01/2024,NYCT Other,Physical Contact,3
01/01/2024,NYCT Other,Non Physical Contact,2
01/01/2024,LIRR,Physical Contact,5
01/01/2024,LIRR,Non Physical Contact,4
01/01/2024,MNR,Physical Contact,4
01/01/2024,MNR,Non Physical Contact,3
01/01/2024,B&T,Physical Contact,0
01/01/2024,B&T,Non Physical Contact,0
01/01/2024,MTA HQ,Physical Contact,0
01/01/2024,MTA HQ,Non Physical Contact,0
01/01/2024,MTA PD Sworn,Physical Contact,5
01/01/2024,MTA PD Sworn,Non Physical Contact,4
02/01/2024,NYCT Subway/SIR,Physical Contact,8
02/01/2024,NYCT Subway/SIR,Non Physical Contact,40
02/01/2024,NYCT Bus/MTA Bus,Physical Contact,17
02/01/2024,NYCT Bus/MTA Bus,Non Physical Contact,61
02/01/2024,NYCT Other,Physical Contact,1
02/01/2024,NYCT Other,Non Physical Contact,6
02/01/2024,LIRR,Physical Contact,5
02/01/2024,LIRR,Non Physical Contact,7
02/01/2024,MNR,Physical Contact,2
02/01/2024,MNR,Non Physical Contact,9
02/01/2024,B&T,Physical Contact,0
02/01/2024,B&T,Non Physical Contact,0
02/01/2024,MTA HQ,Physical Contact,0
02/01/2024,MTA HQ,Non Physical Contact,0
02/01/2024,MTA PD Sworn,Physical Contact,4
02/01/2024,MTA PD Sworn,Non Physical Contact,2
03/01/2024,NYCT Subway/SIR,Physical Contact,20
03/01/2024,NYCT Subway/SIR,Non Physical Contact,43
03/01/2024,NYCT Bus/MTA Bus,Physical Contact,28
03/01/2024,NYCT Bus/MTA Bus,Non Physical Contact,73
03/01/2024,NYCT Other,Physical Contact,3
03/01/2024,NYCT Other,Non Physical Contact,3
03/01/2024,LIRR,Physical Contact,3
03/01/2024,LIRR,Non Physical Contact,5
03/01/2024,MNR,Physical Contact,4
03/01/2024,MNR,Non Physical Contact,11
03/01/2024,B&T,Physical Contact,0
03/01/2024,B&T,Non Physical Contact,0
03/01/2024,MTA HQ,Physical Contact,0
03/01/2024,MTA HQ,Non Physical Contact,0
03/01/2024,MTA PD Sworn,Physical Contact,8
03/01/2024,MTA PD Sworn,Non Physical Contact,0
04/01/2024,NYCT Subway/SIR,Physical Contact,19
04/01/2024,NYCT Subway/SIR,Non Physical Contact,26
04/01/2024,NYCT Bus/MTA Bus,Physical Contact,33
04/01/2024,NYCT Bus/MTA Bus,Non Physical Contact,75
04/01/2024,NYCT Other,Physical Contact,3
04/01/2024,NYCT Other,Non Physical Contact,4
04/01/2024,LIRR,Physical Contact,7
04/01/2024,LIRR,Non Physical Contact,2
04/01/2024,MNR,Physical Contact,4
04/01/2024,MNR,Non Physical Contact,6
04/01/2024,B&T,Physical Contact,0
04/01/2024,B&T,Non Physical Contact,0
04/01/2024,MTA HQ,Physical Contact,0
04/01/2024,MTA HQ,Non Physical Contact,0
04/01/2024,MTA PD Sworn,Physical Contact,7
04/01/2024,MTA PD Sworn,Non Physical Contact,0
05/01/2024,NYCT Subway/SIR,Physical Contact,17
05/01/2024,NYCT Subway/SIR,Non Physical Contact,33
05/01/2024,NYCT Bus/MTA Bus,Physical Contact,27
05/01/2024,NYCT Bus/MTA Bus,Non Physical Contact,76
05/01/2024,NYCT Other,Physical Contact,4
05/01/2024,NYCT Other,Non Physical Contact,5
05/01/2024,LIRR,Physical Contact,5
05/01/2024,LIRR,Non Physical Contact,6
05/01/2024,MNR,Physical Contact,4
05/01/2024,MNR,Non Physical Contact,8
05/01/2024,B&T,Physical Contact,0
05/01/2024,B&T,Non Physical Contact,0
05/01/2024,MTA HQ,Physical Contact,0
05/01/2024,MTA HQ,Non Physical Contact,0
05/01/2024,MTA PD Sworn,Physical Contact,6
05/01/2024,MTA PD Sworn,Non Physical Contact,0
06/01/2024,NYCT Subway/SIR,Physical Contact,16
06/01/2024,NYCT Subway/SIR,Non Physical Contact,32
06/01/2024,NYCT Bus/MTA Bus,Physical Contact,28
06/01/2024,NYCT Bus/MTA Bus,Non Physical Contact,79
06/01/2024,NYCT Other,Physical Contact,2
06/01/2024,NYCT Other,Non Physical Contact,5
06/01/2024,LIRR,Physical Contact,5
06/01/2024,LIRR,Non Physical Contact,10
06/01/2024,MNR,Physical Contact,5
06/01/2024,MNR,Non Physical Contact,7
06/01/2024,B&T,Physical Contact,0
06/01/2024,B&T,Non Physical Contact,0
06/01/2024,MTA HQ,Physical Contact,0
06/01/2024,MTA HQ,Non Physical Contact,0
06/01/2024,MTA PD Sworn,Physical Contact,3
06/01/2024,MTA PD Sworn,Non Physical Contact,0
07/01/2024,NYCT Subway/SIR,Physical Contact,17
07/01/2024,NYCT Subway/SIR,Non Physical Contact,27
07/01/2024,NYCT Bus/MTA Bus,Physical Contact,34
07/01/2024,NYCT Bus/MTA Bus,Non Physical Contact,82
07/01/2024,NYCT Other,Physical Contact,3
07/01/2024,NYCT Other,Non Physical Contact,3
07/01/2024,LIRR,Physical Contact,13
07/01/2024,LIRR,Non Physical Contact,14
07/01/2024,MNR,Physical Contact,4
07/01/2024,MNR,Non Physical Contact,11
07/01/2024,B&T,Physical Contact,0
07/01/2024,B&T,Non Physical Contact,1
07/01/2024,MTA HQ,Physical Contact,0
07/01/2024,MTA HQ,Non Physical Contact,0
07/01/2024,MTA PD Sworn,Physical Contact,3
07/01/2024,MTA PD Sworn,Non Physical Contact,0
08/01/2024,NYCT Subway/SIR,Physical Contact,19
08/01/2024,NYCT Subway/SIR,Non Physical Contact,34
08/01/2024,NYCT Bus/MTA Bus,Physical Contact,21
08/01/2024,NYCT Bus/MTA Bus,Non Physical Contact,75
08/01/2024,NYCT Other,Physical Contact,3
08/01/2024,NYCT Other,Non Physical Contact,1
08/01/2024,LIRR,Physical Contact,3
08/01/2024,LIRR,Non Physical Contact,9
08/01/2024,MNR,Physical Contact,2
08/01/2024,MNR,Non Physical Contact,9
08/01/2024,B&T,Physical Contact,0
08/01/2024,B&T,Non Physical Contact,0
08/01/2024,MTA HQ,Physical Contact,0
08/01/2024,MTA HQ,Non Physical Contact,1
08/01/2024,MTA PD Sworn,Physical Contact,0
08/01/2024,MTA PD Sworn,Non Physical Contact,0
09/01/2024,NYCT Subway/SIR,Physical Contact,18
09/01/2024,NYCT Subway/SIR,Non Physical Contact,48
09/01/2024,NYCT Bus/MTA Bus,Physical Contact,36
09/01/2024,NYCT Bus/MTA Bus,Non Physical Contact,72
09/01/2024,NYCT Other,Physical Contact,6
09/01/2024,NYCT Other,Non Physical Contact,9
09/01/2024,LIRR,Physical Contact,7
09/01/2024,LIRR,Non Physical Contact,10
09/01/2024,MNR,Physical Contact,10
09/01/2024,MNR,Non Physical Contact,8
09/01/2024,B&T,Physical Contact,0
09/01/2024,B&T,Non Physical Contact,0
09/01/2024,MTA HQ,Physical Contact,0
09/01/2024,MTA HQ,Non Physical Contact,0
09/01/2024,MTA PD Sworn,Physical Contact,6
09/01/2024,MTA PD Sworn,Non Physical Contact,0
10/01/2024,NYCT Subway/SIR,Physical Contact,30
10/01/2024,NYCT Subway/SIR,Non Physical Contact,37
10/01/2024,NYCT Bus/MTA Bus,Physical Contact,30
10/01/2024,NYCT Bus/MTA Bus,Non Physical Contact,100
10/01/2024,NYCT Other,Physical Contact,3
10/01/2024,NYCT Other,Non Physical Contact,6
10/01/2024,LIRR,Physical Contact,3
10/01/2024,LIRR,Non Physical Contact,9
10/01/2024,MNR,Physical Contact,4
10/01/2024,MNR,Non Physical Contact,5
10/01/2024,B&T,Physical Contact,0
10/01/2024,B&T,Non Physical Contact,1
10/01/2024,MTA HQ,Physical Contact,0
10/01/2024,MTA HQ,Non Physical Contact,0
10/01/2024,MTA PD Sworn,Physical Contact,2
10/01/2024,MTA PD Sworn,Non Physical Contact,0
11/01/2024,NYCT Subway/SIR,Physical Contact,18
11/01/2024,NYCT Subway/SIR,Non Physical Contact,41
11/01/2024,NYCT Bus/MTA Bus,Physical Contact,27
11/01/2024,NYCT Bus/MTA Bus,Non Physical Contact,94
11/01/2024,NYCT Other,Physical Contact,2
11/01/2024,NYCT Other,Non Physical Contact,3
11/01/2024,LIRR,Physical Contact,3
11/01/2024,LIRR,Non Physical Contact,4
11/01/2024,MNR,Physical Contact,4
11/01/2024,MNR,Non Physical Contact,4
11/01/2024,B&T,Physical Contact,0
11/01/2024,B&T,Non Physical Contact,0
11/01/2024,MTA HQ,Physical Contact,0
11/01/2024,MTA HQ,Non Physical Contact,0
11/01/2024,MTA PD Sworn,Physical Contact,3
11/01/2024,MTA PD Sworn,Non Physical Contact,0
12/01/2024,NYCT Subway/SIR,Physical Contact,22
12/01/2024,NYCT Subway/SIR,Non Physical Contact,30
12/01/2024,NYCT Bus/MTA Bus,Physical Contact,23
12/01/2024,NYCT Bus/MTA Bus,Non Physical Contact,80
12/01/2024,NYCT Other,Physical Contact,1
12/01/2024,NYCT Other,Non Physical Contact,5
12/01/2024,LIRR,Physical Contact,6
12/01/2024,LIRR,Non Physical Contact,5
12/01/2024,MNR,Physical Contact,6
12/01/2024,MNR,Non Physical Contact,1
12/01/2024,B&T,Physical Contact,0
12/01/2024,B&T,Non Physical Contact,0
12/01/2024,MTA HQ,Physical Contact,0
12/01/2024,MTA HQ,Non Physical Contact,0
12/01/2024,MTA PD Sworn,Physical Contact,6
12/01/2024,MTA PD Sworn,Non Physical Contact,0
01/01/2025,NYCT Subway/SIR,Physical Contact,20
01/01/2025,NYCT Subway/SIR,Non Physical Contact,41
01/01/2025,NYCT Bus/MTA Bus,Physical Contact,13
01/01/2025,NYCT Bus/MTA Bus,Non Physical Contact,72
01/01/2025,NYCT Other,Physical Contact,5
01/01/2025,NYCT Other,Non Physical Contact,3
01/01/2025,LIRR,Physical Contact,6
01/01/2025,LIRR,Non Physical Contact,5
01/01/2025,MNR,Physical Contact,2
01/01/2025,MNR,Non Physical Contact,2
01/01/2025,B&T,Physical Contact,0
01/01/2025,B&T,Non Physical Contact,1
01/01/2025,MTA HQ,Physical Contact,0
01/01/2025,MTA HQ,Non Physical Contact,1
01/01/2025,MTA PD Sworn,Physical Contact,4
01/01/2025,MTA PD Sworn,Non Physical Contact,0
02/01/2025,NYCT Subway/SIR,Physical Contact,11
02/01/2025,NYCT Subway/SIR,Non Physical Contact,31
02/01/2025,NYCT Bus/MTA Bus,Physical Contact,21
02/01/2025,NYCT Bus/MTA Bus,Non Physical Contact,76
02/01/2025,NYCT Other,Physical Contact,8
02/01/2025,NYCT Other,Non Physical Contact,12
02/01/2025,LIRR,Physical Contact,1
02/01/2025,LIRR,Non Physical Contact,5
02/01/2025,MNR,Physical Contact,2
02/01/2025,MNR,Non Physical Contact,4
02/01/2025,B&T,Physical Contact,0
02/01/2025,B&T,Non Physical Contact,0
02/01/2025,MTA HQ,Physical Contact,0
02/01/2025,MTA HQ,Non Physical Contact,1
02/01/2025,MTA PD Sworn,Physical Contact,3
02/01/2025,MTA PD Sworn,Non Physical Contact,0
03/01/2025,NYCT Subway/SIR,Physical Contact,17
03/01/2025,NYCT Subway/SIR,Non Physical Contact,38
03/01/2025,NYCT Bus/MTA Bus,Physical Contact,16
03/01/2025,NYCT Bus/MTA Bus,Non Physical Contact,72
03/01/2025,NYCT Other,Physical Contact,8
03/01/2025,NYCT Other,Non Physical Contact,3
03/01/2025,LIRR,Physical Contact,4
03/01/2025,LIRR,Non Physical Contact,9
03/01/2025,MNR,Physical Contact,6
03/01/2025,MNR,Non Physical Contact,7
03/01/2025,B&T,Physical Contact,0
03/01/2025,B&T,Non Physical Contact,0
03/01/2025,MTA HQ,Physical Contact,0
03/01/2025,MTA HQ,Non Physical Contact,1
03/01/2025,MTA PD Sworn,Physical Contact,11
03/01/2025,MTA PD Sworn,Non Physical Contact,0
04/01/2025,NYCT Subway/SIR,Physical Contact,22
04/01/2025,NYCT Subway/SIR,Non Physical Contact,39
04/01/2025,NYCT Bus/MTA Bus,Physical Contact,19
04/01/2025,NYCT Bus/MTA Bus,Non Physical Contact,83
04/01/2025,NYCT Other,Physical Contact,4
04/01/2025,NYCT Other,Non Physical Contact,4
04/01/2025,LIRR,Physical Contact,5
04/01/2025,LIRR,Non Physical Contact,17
04/01/2025,MNR,Physical Contact,4
04/01/2025,MNR,Non Physical Contact,4
04/01/2025,B&T,Physical Contact,0
04/01/2025,B&T,Non Physical Contact,0
04/01/2025,MTA HQ,Physical Contact,0
04/01/2025,MTA HQ,Non Physical Contact,1
04/01/2025,MTA PD Sworn,Physical Contact,1
04/01/2025,MTA PD Sworn,Non Physical Contact,0
05/01/2025,NYCT Subway/SIR,Physical Contact,22
05/01/2025,NYCT Subway/SIR,Non Physical Contact,20
05/01/2025,NYCT Bus/MTA Bus,Physical Contact,24
05/01/2025,NYCT Bus/MTA Bus,Non Physical Contact,74
05/01/2025,NYCT Other,Physical Contact,9
05/01/2025,NYCT Other,Non Physical Contact,4
05/01/2025,LIRR,Physical Contact,5
05/01/2025,LIRR,Non Physical Contact,8
05/01/2025,MNR,Physical Contact,4
05/01/2025,MNR,Non Physical Contact,10
05/01/2025,B&T,Physical Contact,0
05/01/2025,B&T,Non Physical Contact,1
05/01/2025,MTA HQ,Physical Contact,0
05/01/2025,MTA HQ,Non Physical Contact,1
05/01/2025,MTA PD Sworn,Physical Contact,5
05/01/2025,MTA PD Sworn,Non Physical Contact,0
06/01/2025,NYCT Subway/SIR,Physical Contact,13
06/01/2025,NYCT Subway/SIR,Non Physical Contact,27
06/01/2025,NYCT Bus/MTA Bus,Physical Contact,20
06/01/2025,NYCT Bus/MTA Bus,Non Physical Contact,48
06/01/2025,NYCT Other,Physical Contact,1
06/01/2025,NYCT Other,Non Physical Contact,6
06/01/2025,LIRR,Physical Contact,4
06/01/2025,LIRR,Non Physical Contact,7
06/01/2025,MNR,Physical Contact,6
06/01/2025,MNR,Non Physical Contact,5
06/01/2025,B&T,Physical Contact,0
06/01/2025,B&T,Non Physical Contact,0
06/01/2025,MTA HQ,Physical Contact,0
06/01/2025,MTA HQ,Non Physical Contact,3
06/01/2025,MTA PD Sworn,Physical Contact,3
06/01/2025,MTA PD Sworn,Non Physical Contact,0
07/01/2025,NYCT Subway/SIR,Physical Contact,16
07/01/2025,NYCT Subway/SIR,Non Physical Contact,30
07/01/2025,NYCT Bus/MTA Bus,Physical Contact,31
07/01/2025,NYCT Bus/MTA Bus,Non Physical Contact,78
07/01/2025,NYCT Other,Physical Contact,10
07/01/2025,NYCT Other,Non Physical Contact,10
07/01/2025,LIRR,Physical Contact,6
07/01/2025,LIRR,Non Physical Contact,7
07/01/2025,MNR,Physical Contact,4
07/01/2025,MNR,Non Physical Contact,5
07/01/2025,B&T,Physical Contact,0
07/01/2025,B&T,Non Physical Contact,0
07/01/2025,MTA HQ,Physical Contact,0
07/01/2025,MTA HQ,Non Physical Contact,2
07/01/2025,MTA PD Sworn,Physical Contact,4
07/01/2025,MTA PD Sworn,Non Physical Contact,0
08/01/2025,NYCT Subway/SIR,Physical Contact,14
08/01/2025,NYCT Subway/SIR,Non Physical Contact,25
08/01/2025,NYCT Bus/MTA Bus,Physical Contact,22
08/01/2025,NYCT Bus/MTA Bus,Non Physical Contact,94
08/01/2025,NYCT Other,Physical Contact,9
08/01/2025,NYCT Other,Non Physical Contact,3
08/01/2025,LIRR,Physical Contact,5
08/01/2025,LIRR,Non Physical Contact,9
08/01/2025,MNR,Physical Contact,4
08/01/2025,MNR,Non Physical Contact,6
08/01/2025,B&T,Physical Contact,0
08/01/2025,B&T,Non Physical Contact,0
08/01/2025,MTA HQ,Physical Contact,0
08/01/2025,MTA HQ,Non Physical Contact,1
08/01/2025,MTA PD Sworn,Physical Contact,3
08/01/2025,MTA PD Sworn,Non Physical Contact,0
09/01/2025,NYCT Subway/SIR,Physical Contact,15
09/01/2025,NYCT Subway/SIR,Non Physical Contact,26
09/01/2025,NYCT Bus/MTA Bus,Physical Contact,14
09/01/2025,NYCT Bus/MTA Bus,Non Physical Contact,97
09/01/2025,NYCT Other,Physical Contact,0
09/01/2025,NYCT Other,Non Physical Contact,14
09/01/2025,LIRR,Physical Contact,2
09/01/2025,LIRR,Non Physical Contact,11
09/01/2025,MNR,Physical Contact,5
09/01/2025,MNR,Non Physical Contact,8
09/01/2025,B&T,Physical Contact,0
09/01/2025,B&T,Non Physical Contact,1
09/01/2025,MTA HQ,Physical Contact,0
09/01/2025,MTA HQ,Non Physical Contact,2
09/01/2025,MTA PD Sworn,Physical Contact,1
09/01/2025,MTA PD Sworn,Non Physical Contact,0
10/01/2025,NYCT Subway/SIR,Physical Contact,17
10/01/2025,NYCT Subway/SIR,Non Physical Contact,30
10/01/2025,NYCT Bus/MTA Bus,Physical Contact,29
10/01/2025,NYCT Bus/MTA Bus,Non Physical Contact,94
10/01/2025,NYCT Other,Physical Contact,5
10/01/2025,NYCT Other,Non Physical Contact,6
10/01/2025,LIRR,Physical Contact,6
10/01/2025,LIRR,Non Physical Contact,10
10/01/2025,MNR,Physical Contact,2
10/01/2025,MNR,Non Physical Contact,6
10/01/2025,B&T,Physical Contact,0
10/01/2025,B&T,Non Physical Contact,0
10/01/2025,MTA HQ,Physical Contact,0
10/01/2025,MTA HQ,Non Physical Contact,2
10/01/2025,MTA PD Sworn,Physical Contact,4
10/01/2025,MTA PD Sworn,Non Physical Contact,0
11/01/2025,NYCT Subway/SIR,Physical Contact,6
11/01/2025,NYCT Subway/SIR,Non Physical Contact,29
11/01/2025,NYCT Bus/MTA Bus,Physical Contact,23
11/01/2025,NYCT Bus/MTA Bus,Non Physical Contact,87
11/01/2025,NYCT Other,Physical Contact,8
11/01/2025,NYCT Other,Non Physical Contact,3
11/01/2025,LIRR,Physical Contact,3
11/01/2025,LIRR,Non Physical Contact,5
11/01/2025,MNR,Physical Contact,1
11/01/2025,MNR,Non Physical Contact,2
11/01/2025,B&T,Physical Contact,1
11/01/2025,B&T,Non Physical Contact,0
11/01/2025,MTA HQ,Physical Contact,0
11/01/2025,MTA HQ,Non Physical Contact,4
11/01/2025,MTA PD Sworn,Physical Contact,5
11/01/2025,MTA PD Sworn,Non Physical Contact,0
12/01/2025,NYCT Subway/SIR,Physical Contact,12
12/01/2025,NYCT Subway/SIR,Non Physical Contact,37
12/01/2025,NYCT Bus/MTA Bus,Physical Contact,29
12/01/2025,NYCT Bus/MTA Bus,Non Physical Contact,84
12/01/2025,NYCT Other,Physical Contact,3
12/01/2025,NYCT Other,Non Physical Contact,6
12/01/2025,LIRR,Physical Contact,5
12/01/2025,LIRR,Non Physical Contact,9
12/01/2025,MNR,Physical Contact,2
12/01/2025,MNR,Non Physical Contact,2
12/01/2025,B&T,Physical Contact,0
12/01/2025,B&T,Non Physical Contact,1
12/01/2025,MTA HQ,Physical Contact,1
12/01/2025,MTA HQ,Non Physical Contact,2
12/01/2025,MTA PD Sworn,Physical Contact,3
12/01/2025,MTA PD Sworn,Non Physical Contact,0
01/01/2026,NYCT Subway/SIR,Physical Contact,14
01/01/2026,NYCT Subway/SIR,Non Physical Contact,25
01/01/2026,NYCT Bus/MTA Bus,Physical Contact,16
01/01/2026,NYCT Bus/MTA Bus,Non Physical Contact,41
01/01/2026,NYCT Other,Physical Contact,5
01/01/2026,NYCT Other,Non Physical Contact,4
01/01/2026,LIRR,Physical Contact,7
01/01/2026,LIRR,Non Physical Contact,8
01/01/2026,MNR,Physical Contact,1
01/01/2026,MNR,Non Physical Contact,6
01/01/2026,B&T,Physical Contact,0
01/01/2026,B&T,Non Physical Contact,0
01/01/2026,MTA HQ,Physical Contact,0
01/01/2026,MTA HQ,Non Physical Contact,1
01/01/2026,MTA PD Sworn,Physical Contact,5
01/01/2026,MTA PD Sworn,Non Physical Contact,0
02/01/2026,LIRR,Physical Contact,9
02/01/2026,LIRR,Non Physical Contact,8
02/01/2026,MNR,Physical Contact,2
02/01/2026,MNR,Non Physical Contact,4
02/01/2026,B&T,Physical Contact,0
02/01/2026,B&T,Non Physical Contact,0
02/01/2026,MTA HQ,Physical Contact,0
02/01/2026,MTA HQ,Non Physical Contact,1
02/01/2026,MTA PD Sworn,Physical Contact,2
02/01/2026,MTA PD Sworn,Non Physical Contact,0
